State,id,Year,Supportive Services,Congregate Meals,Home Meals,Preventive Services,NFCSP,Total Title III,pop60,pct_chng_pop60,pct_chng_title3
Alabama,1,2006,5403560,6068408,2871070,337809,2380884,17061731,839067,0.054723878,-0.008543558
Alabama,1,2007,5405429,6109149,2952575,337926,2381708,17186787,863708,0.028529318,0.00732962
Alabama,1,2008,5405127,6125517,3047238,333171,2366349,17277402,891680,0.031369998,0.005272364
Alabama,1,2009,5511235,6625002,3357241,333168,2388721,18215367,910042,0.020177091,0.054288544
Alabama,1,2010,5655995,6769708,3405044,333168,2394015,18557930,936431,0.0281804,0.018806264
Alabama,1,2011,5610623,6728841,3380743,332502,2386588,18439297,973051,0.037634204,-0.006392577
Alabama,1,2012,5571772,6686908,3373334,331874,2351563,18315451,989519,0.016642429,-0.006716417
Alabama,1,2013,5347830,6068408,3177759,312653,2220390,17127040,1013471,0.023633631,-0.064885708
Alabama,1,2014,5325874,6511955,3321462,311357,2206505,17677153,1044134,0.02936692,0.032119561
Alaska,2,2006,1746341,1919299,906082,106594,777878,5456194,71812,0.04915613,-0.00608098
Alaska,2,2007,1749360,1983727,936395,106779,779224,5555485,76195,0.05752346,0.01819785
Alaska,2,2008,1749717,2039714,962745,105130,762013,5619319,77608,0.018206886,0.011490266
Alaska,2,2009,1795942,2158368,1065886,105130,766492,5891818,81801,0.051258542,0.048493243
Alaska,2,2010,1830190,2190101,1081558,105130,766267,5973246,90709,0.098204147,0.013820522
Alaska,2,2011,1827011,2186289,1079676,104920,764933,5962829,96770,0.062633047,-0.001743943
Alaska,2,2012,1823319,2181871,1077497,104722,763390,5950799,103070,0.061123508,-0.002017499
Alaska,2,2013,1728330,2068203,1021362,98657,723620,5640172,104954,0.017950721,-0.052199209
Alaska,2,2014,1721234,2169045,1071165,98248,720651,5780343,110959,0.054119089,0.024852256
Arizona,4,2006,6573030,6567487,3492443,410919,2969325,20013204,1064491,0.058955877,-0.000219707
Arizona,4,2007,6671840,7169496,3691066,417051,2995882,20945335,1125255,0.054000204,0.046575801
Arizona,4,2008,6696182,7708885,3892555,405276,3116374,21819272,1176857,0.043847298,0.041724661
Arizona,4,2009,7186334,8638621,4377649,405273,3197875,23805752,1207891,0.025692716,0.091042451
Arizona,4,2010,7536954,9021043,4537425,405273,3287930,24788625,1242904,0.028170317,0.041287207
Arizona,4,2011,7448464,8932970,4488153,404463,3227992,24502042,1292431,0.038320808,-0.011561069
Arizona,4,2012,7406195,8888476,4483954,403699,3164166,24346490,1343024,0.037670957,-0.006348532
Arizona,4,2013,6505240,8135056,4296544,380319,3063358,22380517,1395446,0.037566484,-0.080749751
Arizona,4,2014,6478530,8895789,4537352,378742,3103554,23393967,1453606,0.040010842,0.045282689
Arkansas,5,2006,3500996,4163564,1823332,214532,1520865,11223289,529952,0.058252446,-0.00332005
Arkansas,5,2007,3502207,4191517,1874753,214606,1521391,11304474,548069,0.033056057,0.007233619
Arkansas,5,2008,3502011,4202747,1929289,211586,1510881,11356514,566878,0.033179979,0.004603487
Arkansas,5,2009,3510940,4215426,2125590,211585,1521777,11585318,567522,0.001134758,0.02014738
Arkansas,5,2010,3575124,4279096,2152310,211585,1523673,11741788,592581,0.04228789,0.013505887
Arkansas,5,2011,3543506,4249740,2135178,211162,1518422,11658008,604460,0.019652252,-0.0071352
Arkansas,5,2012,3502121,4203036,2120299,210763,1503924,11540143,611497,0.011507824,-0.010110218
Arkansas,5,2013,3464888,4163564,1995550,198557,1423632,11246191,628778,0.027483468,-0.025472128
Arkansas,5,2014,3450663,4163564,2068715,197733,1408847,11289522,642272,0.02100979,0.003852949
California,6,2006,34578882,34919214,18372773,2161730,15623593,105656192,5373476,0.049247638,-0.007239772
California,6,2007,34590840,36870829,18982185,2162479,15628998,108235331,5552435,0.032230724,0.024410675
California,6,2008,34588911,38533827,19457424,2132052,15360205,110072419,5744987,0.033516525,0.01697309
California,6,2009,35454106,42619031,21597330,2132032,15485835,117288334,5881977,0.023289788,0.065556068
California,6,2010,36448142,43625084,21942649,2132032,15564926,119712833,6149653,0.043527009,0.020671272
California,6,2011,36232873,43454221,21832514,2127762,15356773,119004143,6336481,0.029484504,-0.005919917
California,6,2012,36265662,43523886,21956423,2123744,15442307,119312022,6570920,0.035678261,0.002587128
California,6,2013,34222255,39623562,20927250,2000744,14711105,111484916,6810757,0.035214441,-0.065601989
California,6,2014,34081746,43228051,22048734,1992449,14702604,116053584,7089458,0.039312032,0.040980145
Colorado,8,2006,4154787,4151035,2207560,259740,1816354,12589476,682865,0.095441998,-0.005010247
Colorado,8,2007,4187942,4500322,2316898,261785,1826413,13093360,717314,0.048024993,0.040024223
Colorado,8,2008,4214645,4852531,2450256,256173,1812595,13586200,754624,0.049441841,0.037640453
Colorado,8,2009,4564582,5487038,2780574,256172,1847782,14936148,792557,0.047861542,0.099361705
Colorado,8,2010,4762294,5700029,2867014,256172,1863239,15448748,823655,0.037756099,0.034319424
Colorado,8,2011,4862516,5831634,2929963,255659,1902436,15782208,862622,0.045172741,0.021584921
Colorado,8,2012,4885597,5863402,2957901,255177,1926424,15888501,901679,0.043315859,0.006734989
Colorado,8,2013,4111937,5410449,2857538,240398,1856698,14477020,953274,0.054123998,-0.088836637
Colorado,8,2014,4095054,5978941,3049595,239401,1878721,15241712,998824,0.04560363,0.052821092
Connecticut,9,2006,4404337,5241452,2250669,264812,2036897,14198167,639905,0.04965112,-0.001693122
Connecticut,9,2007,4405860,5276641,2304499,264904,2037602,14289506,651439,0.017705418,0.006433154
Connecticut,9,2008,4405614,5290778,2319984,261176,1889033,14166585,667161,0.023565526,-0.008602187
Connecticut,9,2009,4416847,5306740,2544147,261174,1867650,14396558,682953,0.023123114,0.016233482
Connecticut,9,2010,4414911,5278429,2542112,261174,1828019,14324645,716693,0.04707734,-0.004995152
